Comment,Designator,Footprint,LCSC
"10uF","C1","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm",""
"0.1uF","C2,C3,C4,C5,C12,C13,C14,C15","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder"," C49678"
"0.01uf","C6,C7,C8,C9,C16,C17,C18,C19","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder"," C1710"
"LED","D1","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C2293"
"LED","D3,D6","LED_THT:LED_D5.0mm",""
"USB_B_Micro","J2","Connector_USB:USB_Micro-B_Molex-105017-0001",""
"EN11-HSM1BF20","J1,J3,J4,J6","SamacSys_Parts:EN11HSM1BF20",""
"Conn_02x15_Odd_Even","J5","Connector_PinHeader_2.54mm:PinHeader_2x15_P2.54mm_Vertical",""
"220","R1,R2,R4,R19","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C17540"
"10k","R5,R6,R7,R8,R9,R10,R11,R12,R21,R22,R23,R24,R25,R26,R27,R28","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C17414"
"100k","RV1","Cessna 172 nav and com radio:A-2506 trimpot resistor",""
"SW_Push","SW1,SW2,SW3,SW4,SW5,SW6,SW7,SW8","Button_Switch_THT:SW_PUSH_6mm_H8mm",""
"MAX7219 COM standby","U1,U3,U5,U7,U9,U11,U13,U15","Package_SO:SOIC-24W_7.5x15.4mm_P1.27mm","C9964"
"3651A","U2,U4,U6,U8,U10,U12,U14,U16","Cessna 172 nav and com radio:3651A",""
